Code,Description
"10600","Northwest Airlines Inc. (Pacific)"
"10601","Northwest Airlines Inc. (Atlantic)"
"10652","Pan American World Airways (1) (Atlantic)"
"10653","Pan American World Airways (1) (Latin America)"
"10654","Pan American World Airways (1) (Pacific)"
"10845","Trans World Airways LLC (Atlantic)"
"10847","Trans World Airways LLC (Latin America)"
"10874","United Air Lines Inc. (Atlantic)"
"10875","JetBlue Airways (Atlantic)"
"10876","United Air Lines Inc. (Latin America)"
"10877","United Air Lines Inc. (Pacific)"
"10930","Western Air Lines Inc. (Latin America)"
"11005","Cargo 360, Inc. (Pacific)"
"11007","US Airways Inc. (Pacific)"
"11009","ABX Air Inc (Atlantic)"
"11010","Northwest Airlines Inc. (Latin America)"
"11015","Compass Airlines (Latin America)"
"11017","Prescott Support Company, Inc. (International)"
"11018","ABX Air Inc (Pacific)"
"11019","Eastern Airlines f/k/a Dynamic Airways, LLC (International)"
"11020","Virgin America (Latin America)"
"11021","Vision Airlines (Latin America)"
"11022","Mesa Airlines Inc. (Latin America)"
"11023","Horizon Air (Latin America)"
"11024","Allegiant Air (Latin America)"
"11025","SkyWest Airlines Inc. (Latin America)"
"11026","Comair Inc. (Latin America)"
"11027","Endeavor Air Inc. (Latin America)"
"11029","Republic Airline (Latin America)"
"11030","PSA Airlines Inc. (Latin America)"
"11033","Southwest Airlines Co. (Latin America)"
"11034","TEM Enterprises dba  Avelo Airlines (Latin America)"
"11035","Chautauqua Airlines Inc. (Atlantic)"
"11038","Republic Airline (Atlantic)"
"11040","Lynden Air Cargo Airlines (International)"
"11041","Northern Air Cargo Inc. (International)"
"11042","Western Global (International)"
"11043","Orange Air (International)"
"11044","Songbird Airways Inc. (International)"
"11045","Eastern Airlines Group Inc. (International)"
"11046","Jet Aviation Flight Services, Inc. (International)"
"11047","Elite Airways LLC (International)"
"11049","National Air Cargo Group Inc d/ba National Airlines (International)"
"11050","21 Air LLC (International)"
"11052","Polaris Aviation Solutions, LLC (International)"
"11053","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC (International)"
